#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-10T15:24:58 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-10T15:24:58	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out=Name,RAJ2000,DEJ2000,Dist,f_Dist&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
Name	RAJ2000	DEJ2000	Dist	f_Dist
	"h:m:s"	"d:m:s"	Mpc
------------------	----------	---------	-----	----
UGC12894          	00 00 22.5	+39 29 44	 8.47	TF
WLM               	00 01 58.1	-15 27 40	 0.97	TRGB
And XVIII         	00 02 14.5	+45 05 20	 1.36	TRGB
ESO409-015        	00 05 31.8	-28 05 53	 7.70	TF
AGC748778         	00 06 34.4	+15 30 39	 5.40	h'
And XX            	00 07 30.7	+35 07 56	 0.80	TRGB
UGC00064          	00 07 44.0	+40 52 32	 9.60	TF
ESO349-031        	00 08 13.3	-34 34 42	 3.21	TRGB
NGC0024           	00 09 56.4	-24 57 48	 9.90	TF
NGC0045           	00 14 03.9	-23 10 56	 9.20	TF
NGC0055           	00 15 08.5	-39 13 13	 2.13	TRGB
NGC0059           	00 15 25.1	-21 26 38	 5.30	SBF
ESO410-005        	00 15 31.4	-32 10 48	 1.92	TRGB
And XIX           	00 19 32.1	+35 02 37	 0.93	TRGB
IC0010            	00 20 24.5	+59 17 30	 0.66	Cep
And XXVI          	00 23 45.6	+47 54 58	 0.76	HB
Sc22              	00 23 51.7	-24 42 18	 4.21	TRGB
Cetus             	00 26 11.0	-11 02 40	 0.78	TRGB
ESO294-010        	00 26 33.3	-41 51 20	 1.92	TRGB
UGC00288          	00 29 04.0	+43 25 54	 6.73	BS
And XXV           	00 30 08.9	+46 51 07	 0.81	HB
ESO473-024        	00 31 22.5	-22 45 57	 9.90	TF
NGC0147           	00 33 11.6	+48 30 28	 0.76	TRGB
And III           	00 35 33.8	+36 29 52	 0.75	TRGB
And XXX           	00 36 34.9	+49 38 48	 0.68	TRGB
And XVII          	00 37 07.0	+44 19 20	 0.74	HB
And XXVII         	00 37 27.1	+45 23 13	 0.83	HB
NGC0185           	00 38 58.0	+48 20 10	 0.61	TRGB
NGC0205           	00 40 22.5	+41 41 11	 0.82	TRGB
And IV            	00 42 30.1	+40 34 33	 6.31	TRGB
MESSIER032        	00 42 42.1	+40 51 59	 0.49	TRGB
MESSIER031        	00 42 44.5	+41 16 09	 0.77	Cep
DDO226            	00 43 03.8	-22 15 01	 4.92	TRGB
And I             	00 45 40.0	+38 02 14	 0.73	TRGB
And XI            	00 46 20.0	+33 48 05	 0.73	RR
NGC0247           	00 47 08.3	-20 45 36	 3.65	TRGB
And XII           	00 47 27.0	+34 22 29	 0.83	TRGB
NGC0253           	00 47 34.3	-25 17 32	 3.94	TRGB
KDG002            	00 49 21.1	-18 04 28	 3.40	TRGB
DDO006            	00 49 49.3	-21 00 58	 3.34	TRGB
ESO540-032        	00 50 24.6	-19 54 25	 3.42	TRGB
Bol520            	00 50 42.4	+32 54 59	 0.63	TRGB
And XIV           	00 51 35.0	+29 41 49	 0.73	TRGB
And XIII          	00 51 51.0	+33 00 16	 0.84	RR
SMC               	00 52 38.0	-72 48 01	 0.06	Cep
And IX            	00 52 52.8	+43 12 00	 0.79	TRGB
